line,verse,part,text
1,1,2,นิราศร้างห่างเหเสน่หา
2,1,3,ปางอิเหนาเศร้าสุดถึงบุษบา
3,1,4,พระพายพาพัดน้องเที่ยวล่องลอย
4,2,1,ตลึงเหลียวเปลี่ยวเปล่าให้เหงาหงิม
5,2,2,สุชลปริ่มเปี่ยมเหยาะเผาะเผาะผอย
6,2,3,โอ้เย็นค่ำน้ำค้างลงพร่างพร้อย
7,2,4,น้องจะลอยลมบนไปหนใด
8,3,1,ฤๅเทวันชั้นฟ้ามาพาน้อง
9,3,2,ไปไว้ห้องช่องสวรรค์ที่ชั้นไหน
10,3,3,แม้นน้องน้อยลอยถึงชั้นตรึงศ์ไตร
11,3,4,สหัสนัยจะช่วยรับประคับประคอง
12,4,1,ฤๅไปปะพระอาทิตย์พิศวาส
13,4,2,ไปร่วมอาสน์เวชยันต์ผันผยอง
14,4,3,ฤๅเมขลาพาชวนนวลลออง
15,4,4,เที่ยวลอยล่องเลียบฟ้าชมสาคร
16,5,1,ฤๅไปริมหิมพานต์ชานไกรลาส
17,5,2,บริเวณเมรุมาศราชศิงขร
18,5,3,ฤๅจะออกนอกเนมินท์อิสินธร
19,5,4,เที่ยวลอยร่อนรอบฟ้านภาไลย
20,6,1,โอ้ลมแดงแสงแดดจะแผดส่อง
21,6,2,จะมัวหมองมิ่งขวัญจะหวั่นไหว
22,6,3,จะดั้นหมอกออกเมฆวิเวกใจ
23,6,4,นี่เวรใดเด็ดสวาทให้คลาศคลา
24,7,1,พระผันแปรแลรอบขอบทวีป
25,7,2,เห็นแต่กลีบเมฆเคลื่อนเกลื่อนเวหา
26,7,3,จะแลดูสุริยนต์ก็สนธยา
27,7,4,จะดูฟ้าฟ้าคล้ำให้รำจวญ
28,8,1,ฝืนวิโยคโศกเศร้าเข้าในห้อง
29,8,2,เห็นแท่นทองที่ประธมภิรมย์สงวน
30,8,3,ไม่เห็นนุชสุดจะทรงพระองค์ซวน
31,8,4,ลห้อยหวนหิวโหยด้วยโรยแรง
32,9,1,ยลยี่ภู่ปูเปล่าเศร้าสลด
33,9,2,ระทวยทดทอดทบซบกรรแสง
34,9,3,โอ้สุดแสนแค้นอารมณ์ด้วยลมแดง
35,9,4,ดูเหมือนแกล้งพัดไปให้ไกลทรวง
36,10,1,เสียดายเอ๋ยเคยแอบแนบสนิท
37,10,2,ถึงชีวิตวอดวายไม่หายห่วง
38,10,3,โอ้น้องนุชบุษบาสุดาดวง
39,10,4,พี่เปล่าทรวงทรวงดังจะพังโทรม
40,11,1,โอ้โพล้เพล้เวลาปานฉนี้
41,11,2,เคยเข้าที่พี่เคยได้เชยโฉม
42,11,3,เห็นแต่ห้องน้องน้อยลอยโพยม
43,11,4,ยามประโคมมิรู้ลืมเจ้าปลื้มใจ
44,12,1,โอ้เขนยเคยหนุนยังอุ่นอ่อน
45,12,2,แต่น้องน้อยลอยร่อนไปนอนไหน
46,12,3,ยี่ภู่เอ๋ยเคยชิดสนิทใน
47,12,4,วันนี้ไกลกลอยสวาทอนาถนอน
48,13,1,โอ้รินรินกลิ่นนวลยังหวนหอม
49,13,2,เคยถนอมแนบทรวงดวงสมร
50,13,3,ยังรื่นรื่นชื่นใจอาไลยวอน
51,13,4,สอื้นอ้อนอารมณ์ระทมทวี
52,14,1,จนฆ้องค่ำย่ำหึ่งหึ่งกระหึม
53,14,2,ยิ่งเศร้าซึมโศกาถึงยาหยี
54,14,3,โอ้ยามอยู่คูหาเวลานี้
55,14,4,เคยพาทีทอดประทับไว้กับทรวง
56,15,1,โอ้อกเอ๋ยเคยอุ่นลมุนลม่อม
